moduuli,element,itemId,kind,itemType,state,title,body1,body2,url,startTime,endTime,isRecording,metaTitle,otherEntryLabel,HUOM,infoa kuvasta (videosta) / kuva nähtävänä,,,,,,,,,,,,,,,
"tämän sarakkeen sisältöä ei käytetä missään, se on vain apuna tekijälle","schedule = teema, item = moduuli, state = tila",moduulin (tai teeman) tekninen tunniste (Solita lisää),moduulin tyyppi,"moduulin tyyppi (media=image/yle-video/video/text, prompt=choice/multi-choice/super-choice/text)","äänittävän moduulin kustomoitava tila, tai teeman aloitus/lopetus","moduulin otsikko / 1-2 riviä, riville max. 17 merkkiä",Ns. leipätekstin 1. kappale. Tekstiä enintään noin 10 sanaa. Tämän voi jättää myös tyhjäksi (esim. äänitä-kohdassa),Ns. leipätekstin 2. kappale. Tekstiä enintään noin 10 sanaa. Tämän voi jättää myös tyhjäksi (esim. äänitä-kohdassa),"Kuvan tai Areena-klipin tunniste (kuva- ja videomoduuleilla) tai lyhyt teksti (tekstimoduuleilla) / HUOM: ellei tule kumpaakaan, itemTypeksi image ja url-kohtaan null","Numero, montako sekuntia videoklipin alusta (ei pakollinen)","Numero, montako sekuntia klipin alusta (ei  pakollinen)",vain mediamoduuleilla,"Moduulin metaotsikon teksti (oletuksena moduulin tyypin perusteella Lahjoitus x/y, Katso tai kuuntele tai Auta tutkijaa)","super-choice-kysymysmoduulissa:  jos tämä on muuta kuin tyhjä, valintalistan oheen tulee tekstikenttä, jonka selitteenä on tämä teksti","harmaa tausta = jätä tyhjäksi. Super-choicella otherEntryLabel korvaa body2:n, älä laita tuplana!",,,,,,,,,,,,,,,,
Teeman aloituskuva,schedule,6975c4b9-b40e-42e7-9572-05eeab25452b,,,start,Tervetuloa!,"Olen Ina Mikkola, oppaasi täällä K-18-maailmassa.",Voit kerrankin puhua suusi puhtaaksi.,39-7207885f64997522cbf,,,,,,,"Ina lähikuvassa, kuvaajan nimi näkyy",,,,,,,,,,,,,,,
Katso tai kuuntele,item,431e2328-d1a9-4668-adf1-55d3e7838a0f,media,yle-video,,Ensin esileikki,Kohta pääset purkamaan paineitasi. Aloitetaan kuitenkin kuva-arvoituksella.,Näet kohta kaksi kuvaa. Etsi kuvista kolme eroavaisuutta.,1-50635290,,,FALSE,empty,,Moduulin nimi tyhjäksi! (automatiikan mukaan se on Katso tai kuuntele),video 1: Ina Mikkola 1,,,,,,,,,,,,,,,
Lahjoita 1/6,item,d1e54243-2f0b-4118-9bd6-78c45ad805b2,media,image,recording,Etsi erot,"Kun olet löytänyt erot, paina Äänitä ja kerro niistä omin sanoin.",Juttele puhekielellä! Takeltelu ja hymähtely ovat sallittuja.,39-7207925f649976ee48d,,,TRUE,,,,Kuvapari: Ina baarissa 3 eroa kuvissa,,,,,,,,,,,,,,,
Lahjoita 1/6,state,,,,finish,Mahtavaa! Kohta jatketaan!,"Tiesitkö, että puhelahjoitus on salatumpi kuin spermapankki? Lahjoittaja jää aina tuntemattomaksi.",Puhettasi voivat kuunnella vain tutkijat ja tekoälyn kehittäjät. Lue tietosuojasta lisää aloitussivulta.,39-7237365f71a4ea965f4,,,,,,Katja vaihtoi body1:ssä yhden sanan 2.10.20 klo 13.,edellisen kuvan erot pointattuna ,,,,,,,,,,,,,,,
Lahjoita 2/6,item,b08f2813-7645-4fd1-bb09-af5c68886479,media,yle-video,,Terveisiä perseestä!,"Nyt saa valittaa! Mikä sinua on viime aikoina ottanut päähän? Korona, poliitikot vai naapurisi?
","Kerro se tekoälylle. Se ei lavertele eteenpäin.  
 ",1-50635293,,,FALSE,,,TRUE tästä pois?? (ehdottaa Katja 5.10.20 klo 16.30),video: Ina Mikkola 2,,,,,,,,,,,,,,,
Lahjoita 2/6,item,bd0abbdb-3ea0-4399-8b8a-b15a56e0853c,media,image,,Terveisiä perseestä!,Aika tulla ulos kaapista. ,"Paina Äänitä ja kerro, mikä potuttaa!",39-7207985f64997a082ad,,,TRUE,,,"Katja lisäsi Body2:een sanat ""Paina Äänitä ja"" (9.10. klo 10.30)",mies huutaa pää punaisena,,,,,,,,,,,,,,,
Lahjoita 2/6,state,,media,image,finish,No huh huh!,Kohta jatketaan. Ensin voit kuitenkin auttaa tutkijoita.,,39-7207895f6499761ca03,,,,empty,,"Moduulin nimi tyhjäksi! (automatiikan mukaan se on Katso tai kuuntele). EI OLE, koska tämä on äänittävän moduulin Finish-tila, ja sen nimi on Lahjoita x/y kuten muidenkin vastaavien. Katja: ok - mutta tässä tuota Lahjoita X/Y-nimeä ei välttämättä tarvita - tyhjä olisi siis parempi :)","Ina ""kauhuissaan""",,,,,,,,,,,,,,,
Auta tutkijaa,item,2c18f5a0-7b57-43d2-bde3-9625d7c317a9,media,image,,Murretaustani,Meidän kaikkien puheessa kuuluu oma tausta tai murre. ,Missä päin sinä olet oppinut moisen valittamisen taidon?,39-7207965f64997936556,,,FALSE,,,,emoji-ilmapallot naaman edessä,,,,,,,,,,,,,,,
Auta tutkijaa,item,6ef34957-41e7-487e-aa0c-a40c93ed9251,prompt,choice,,Murretaustani,"Valitse yltä maakunta tai alue, joka on eniten vaikuttanut sinun tapaasi puhua.",,39-6780835ec286469a1be,,,,,,,vakiograffakuva ,,,,,,,,,,,,,,,
Auta tutkijaa,item,40fcf904-6511-4494-b008-123be076bc2a,media,image,,Kiitos vastauksestasi!,"Pikku vinkki: näet ylälaidasta, kuinka paljon olet jo lahjoittanut.",,39-7207905f64997661aef,,,,empty,,Moduulin nimi tyhjäksi! (automatiikan mukaan se on Katso tai kuuntele tai Auta tutkijaa),,,,,,,,,,,,,,,,
Katso tai kuuntele,item,5300d820-cc9e-46f2-b83d-81baae3bea83,media,yle-video,,Sanaselityspeli,"Kohta näytän sinulle muutaman sanan, joita en itse näe. Selitä ne minulle parhaasi mukaan! ",Et saa käyttää lapussa olevaa sanaa. Vähän niin kuin Aliaksessa.,1-50635294,,,FALSE,,,,video: Ina Mikkola 3,,,,,,,,,,,,,,,
Lahjoita 3/6,item,8bc537a4-9c21-4bc9-a37d-1bdc0eaa3179,media,yle-video,recording,Sanaselityspeli,Sana vaihtuu 10  sekunnin välein.,"Video alkaa, kun painat Äänitä.",1-50635309,,,TRUE,,,Katja lisäsi body2-tekstin 6.10. klo 14,"(HUOM: videoiden nimien numerot eivät mene järjestyksessä tästä alkaen)

Video: Ina Mikkola 10 (mykkä): 
Padilla vaihtuu 4 sanaa: 
Orgasmi, Krapula, Masturbaatio, Klitoris 
",,,,,,,,,,,,,,,
Lahjoita 3/6,state,,,,finish,Wow!,Loistavasti selitetty!,,39-7207915f64997682b94,,,,,,,Ina hehkuttaa,,,,,,,,,,,,,,,
Katso tai kuuntele,item,8dc3bf16-cd78-4b73-bcc7-49c53e853dc3,media,yle-video,finish,Vedetään henkeä,"Pian jatketaan matkaa kohti syvää päätyä. On tunnusten aika. 
","Ensin kolme pientä tunnustusta, jotka menevät vain taustatiedoksi tutkijoiden käyttöön.",1-50635300,,,FALSE,,,,Video: Ina Mikkola 7,,,,,,,,,,,,,,,
Auta tutkijaa,item,e3264046-a642-46de-a9e7-c55933ee3739,prompt,choice,,Ikäni,Valitse valikosta ikäryhmäsi.,,39-6780905ec2876c0f863,,,,,,,graffakuva (on olemassa jo),,,,,,,,,,,,,,,
Auta tutkijaa,item,8bbb8e5d-56a2-4082-9429-233ff2a5e53f,prompt,choice,,Sukupuoleni,,,39-6780915ec2876cc2128,,,,,,,graffakuva (on olemassa jo),,,,,,,,,,,,,,,
Auta tutkijaa,item,fa3ecb10-1128-4c8c-a838-600a0faadc2e,prompt,multi-choice,,Äidinkieleni,"Jos sinulla on lapsesta asti ollut kaksi äidinkieltä, voit merkitä kummankin.",,39-6780895ec2876bc6b15,,,,,,,graffakuva (on olemassa jo),,,,,,,,,,,,,,,
