moduuli,element,itemId,kind,itemType,state,title,body1,body2,url,startTime,endTime,isRecording,metaTitle,otherEntryLabel,"HUOM! 


",kuva nähtävänä tai videon nimi Areenassa
"tämän sarakkeen sisältöä ei käytetä missään, se on vain apuna tekijälle","schedule = teema, item = moduuli, state = tila",moduulin (tai teeman) tekninen tunniste,moduulin tyyppi,"moduulin tyyppi (media=image/yle-video/video/text, prompt=choice/multi-choice/super-choice/text)
","äänittävän moduulin kustomoitava tila, tai teeman aloitus/lopetus","moduulin otsikko / 1-2 riviä, riville max. 17 merkkiä",Ns. leipätekstin 1. kappale,Ns. leipätekstin 2. kappale,"Kuvan tunniste (kuvamoduuleilla) tai lyhyt teksti (tekstimoduuleilla) / HUOM: ellei tule kumpaakaan, itemTypeksi image ja url-kohtaan null","Numero, montako sekuntia klipin alusta (ei pakollinen)","Numero, montako sekuntia klipin alusta (ei  pakollinen)",vain mediamoduuleilla,"Moduulin metaotsikon teksti (oletuksena moduulin tyypin perusteella Lahjoitus x/y, Katso tai kuuntele tai Auta tutkijaa). empty = tyhjennä","super-choice-kysymysmoduulissa:  jos tämä on muuta kuin tyhjä, valintalistan oheen tulee tekstikenttä, jonka selitteenä on tämä teksti","16.6.20 julkaisusta muutetut solut ovat oranssilla. Super-choicella otherEntryLabel korvaa body2:n, älä laita tuplana!",
Teeman aloituskuva,schedule,3a73d87a-8856-4ca0-9af2-da66c99a95f9,,,start,Tervetuloa!,"Hienoa, että haluat lahjoittaa puhettasi.","Mukanasi kulkee luontotoimittaja Minna Pyykkö. 

","39-6757025ebd0893cd7e3

",,,,,,,Minna Pyykkö
Katso ja kuuntele,item,b960cbf1-4338-4f80-bb9b-c48ce282b800,media,yle-video,,Oppaana Minna Pyykkö,"Eläimet merkitsevät minulle paljon. Tänä aamuna seurasin, kun kottarainen vieraili talipalloilla. ","Harjoitellaan kohta: Kerro, mitä sinun eläinystäväsi syö aamuisin.",1-50525862,,,FALSE,,,,Lahjoita puhetta Minna1
Lahjoita 1,item,3e9baccc-5691-4df3-a454-43fcdeefaf61,media,image,,Kerro aamiaisesta,"Voit kertoa lemmikistä tai muusta eläimestä. Paina Äänitä-nappia, kun olet valmis puhumaan.","Kun olet valmis, paina Lopeta äänitys.",39-6757015ebd0893b2733,,,TRUE,,,,
Lahjoita 1,state,,media,image,finish,Hyvin meni!,Sitten eteenpäin.,,39-6757015ebd0893b2733,,,,,,,
Katso tai kuuntele,item,4fb90326-ab49-4d34-ad05-70e07d6d3681,media,yle-video,,Auta eläintä,"Muista, että kaikki epäröinnit ovat aitoa puhekieltä eli vain plussaa. 
",Nyt saat auttaa pulassa olevaa vuohta. Anna vuohelle ohjeita: mikä jalka pitäisi nostaa ja minne kääntyä?,1-50525863,,,FALSE,,,,Lahjoita puhetta Minna2
Lahjoita 2,item,a32c156d-aaa6-492d-bd9a-730cae6fc559,media,image,,Auta eläintä,"Neuvo vuohiparkaa juurta jaksain! 

",Mikä jalka ensin?,39-6757055ebd0895a55a4,,,TRUE,,,,
Lahjoita 2,state,,media,image,finish,Kiitos!,"Sehän meni hienosti! 

",,39-6783415ec39ce3c3b63,,,,,,,vuohi ilman narua
Katso tai kuuntele,item,26fd8531-ffd7-451b-9971-caf7cb02432f,media,yle-video,,Seuraavaksi kuva-arvoitus,"Pieni juttu: Puhettasi pääsevät kuulemaan vain tutkijat ja tekoälyn kehittäjät. 


",Sitten vesille ja ratkomaan kuva-arvoitusta. Kuva paljastuu vähän kerrallaan. ,1-50525865,,,FALSE,,,,Lahjoita puhetta Minna3
Lahjoita 3,item,75a509cc-e481-4d47-87d4-23c3f0693234,media,yle-video,,Kuva-arvoitus,"Päina Äänitä ja arvaile, mitä kuvasta paljastuu.",Kuva aukeaa 15 sekunnin välein.,1-50526958,,,TRUE,,,,
