moduuli,element,itemId,kind,itemType,state,title,body1,body2,url,startTime,endTime,isRecording,metaTitle,otherEntryLabel,Mitä näytetään,mitä tallennetaan,
Tällä ei ole automaation kannalta mitään väliä,"schedule = teema, item = moduuli, state = tila",moduulin (tai teeman) tekninen tunniste,moduulin tyyppi,"moduulin tyyppi (image, yle-video, video, text)","äänittävän moduulin kustomoitava tila (start/recording/finish), tai teeman aloitus/lopetus (start/finish)","moduulin otsikko / 1-2 riviä, riville max. 17 merkkiä (alitiloissa ""inherit""=peritään moduulin päätasolta)","Ns. leipätekstin 1. kappale (alitiloissa ""inherit""=peritään moduulin päätasolta)","Ns. leipätekstin 2. kappale (alitiloissa ""inherit""=peritään moduulin päätasolta)","Kuvan tunniste (kuvamoduuleilla) tai lyhyt teksti (tekstimoduuleilla) / HUOM: ellei tule kumpaakaan, itemTypeksi image ja url-kohtaan null","Numero, montako sekuntia klipin alusta (ei  pakollinen)","Numero, montako sekuntia klipin alusta (ei  pakollinen)","Mediamoduuleilla: true jos äänittävä moduuli, false jos vain näytetään mediaa eikä äänitetä","Moduulin metaotsikon teksti (oletuksena moduulin tyypin perusteella Lahjoitus x/y, Katso tai kuuntele tai Auta tutkijaa). empty = tyhjennä","super-choice-kysymysmoduulissa:  jos tämä on muuta kuin tyhjä, valintalistan oheen tulee tekstikenttä, jonka selitteenä on tämä teksti",harmaa tausta = jätä tyhjäksi,,
Teeman aloituskuva,schedule,f5c74c5e-e19c-47f6-beff-9631d9c7b6d6,media,image,start,Moikka!,Mahtavaa että tulit lahjoittamaan puhetta.,Käytä ihan tavallista puhekieltä. Takeltelu ja pikku tauot eivät haittaa!,39-7384275fa2b8850f3aa,,,,,,,,
Lahjoita 1/4,item,ce625283-7855-448d-9b6c-def5a34f620b,media,image,,Harjoitellaan ensin,Mitä nämä emojit tarkoittavat?,"Kun olet valmis puhumaan, paina Äänitä. Selitä kaikessa rauhassa.",39-7370235f9fc63fec7ed,,,TRUE,,,,ei mitään,
Lahjoita 1/4,state,,,,recording,Harjoitellaan ensin,"Kerro ääneen, mitä nämä emojit tarkoittavat.","Kun olet vastannut, paina Lopeta äänitys.",39-7370235f9fc63fec7ed,,,,,,,,
Lahjoita 1/4,state,,,,finish,"Kiitos, hienosti sujui!",Puhettasi pääsevät kuulemaan vain tutkijat ja tekoälyn kehittäjät.,Seuraavaksi pääset tutkimaan kuvia.,39-7370265f9fc6b54c99a,,,,,,,,
Lahjoita 2/4,item,83a46c00-35ca-4cc0-9024-781037a149e3,media,yle-video,,Feikkikuva vai ei?,"Kuvia voidaan käsitellä ja niihin liittää asioita, jotka eivät niihin aluksi kuuluneet.","Tunnistatko valekuvat oikeista? Paina Äänitä, niin saat arvioitavaksesi neljä kuvaa.",1-50676196,,,TRUE,,,,ei mitään,
,state,,,,start,inherit,inherit,inherit,39-7368195f9d446fcfc47,,,,,,,,
,state,,,,recording,Feikkikuva vai ei?,"Kerro, mistä tunnistat huijauksen. Näet jokaista kuvaa reilut 10 sekuntia.","Kun olet valmis, paina Lopeta äänitys.",,,,,,,,,
,state,,,,finish,Oletpa tarkkasilmäinen!,Avaruuskuva oli muuten aito.,Sitten pieni tauko puhumiseen.,39-7382855fa28d369569c,,,,,,,,"Kuvakreditit avaruuskuvaan, muuten väärennökset paljastuvat liian aikaisin."
,item,e3066c19-ba9f-4c82-8246-db2f3e6d294a,media,image,,Auta tutkijaa,Kysymme sinulta tutkijoille muutamaa taustatietoa.,"Vastauksista ei voi päätellä, kuka olet. Seuraavaksi voit kertoa ikäsi ja äidinkielesi.",39-6780905ec2876c0f863,,,FALSE,empty,,,,
