moduuli,element,itemId,kind,itemType,state,title,body1,body2,url,startTime,endTime,isRecording,metaTitle,otherEntryLabel,HUOM,kuva nähtävänä tai klipin Areena-otsikko
"tämän sarakkeen sisältöä ei käytetä missään, se on vain apuna tekijälle","schedule = teema, item = moduuli, state = tila",moduulin tekninen tunniste,moduulin tyyppi,"moduulin sisältötyyppi (image, yle-video, video, text; tai choice)",toimintatila (vain Lahjoita-osioissa),"moduulin otsikko / 1-2 riviä, riville max. 17 merkkiä",Ns. leipätekstin 1. kappale,Ns. leipätekstin 2. kappale,"kuvan tai videon ID (kaikki videot yle-videoita) /  kuva on nähtävänä HUOM-sarakkeen oikealla puolella / HUOM: kenttään ei tekstiä, pelkät url-tiedot","Numero, montako sekuntia klipin alusta (ei  pakollinen)","Numero, montako sekuntia klipin alusta (ei pakollinen)",tallennetaanko ääntä vai ei / metatietoihin tyhjää,"Moduulin metaotsikon teksti (oletuksena moduulin tyypin perusteella Lahjoitus x/y, Katso tai kuuntele tai Auta tutkijaa). empty = tyhjennä","super-choice-kysymysmoduulissa:  jos tämä on muuta kuin tyhjä, valintalistan oheen tulee tekstikenttä, jonka selitteenä on tämä teksti",16.6.20 julkaisusta muutetut solut ovat oranssilla. Tekstimuutoksia ei ole värikoodattu tässä (koska niitä on niin paljon).,
teeman aloituskuva,schedule,8aaf82be-de16-4449-9fd2-677291a0e804,,,start,Tervetuloa sporttisiin hetkiin!,"Hienoa, että lahjoitat puhettasi.","Nyt haetaan sun – tai siun – tavallista puhekieltä. Ota siis rennosti!

",39-7226485f6c581db4a09,,,,,,"Tämä ei ole moduuli, vaan teeman aloitusnäyttö. Siksi sillä ei ole moduulin asetuksia kind ja itemType. Sen sijaan title, body1 ja body2 ovat, ja ne näytetään.",
Lahjoita 1/7,item,4a2ad834-ca42-429b-988a-202e947a3e38,media,image,,Alkulämmittely,Verrytellään ensin. Kuvan Suomi-faneissa on kolme pientä eroa.,Paina Äänitä ja etsi eroja ääneen!,39-7226605f6c5b8c492d1,,,TRUE,empty,,Ei moduulinimeä,
Lahjoita 1/7,state,,,,recording,Alkulämmittely,"Kun olet valmis, paina Lopeta äänitys.",,39-7226605f6c5b8c492d1,,,,,,,sama kuin edellä
Lahjoita 1/7,state,,,,finish,Hyvin meni!,"Pieni muistutus ennen kuin jatketaan: Puhettasi pääsevät kuulemaan vain tutkijat ja tekoälyn kehittäjät. 

",Tietosuojasta voit lukea lisää aloitussivulta. ,39-7226595f6c5b8c28946,,,,,,,
Lahjoita 2/7,item,eacaeb14-c0c0-4c06-8aab-86a274a4952c,media,image,,Kysy suosikiltasi,Sitten eteenpäin! Olet voittanut tapaamisen suosikkiurheilijasi kanssa.,Nyt voit kysyä häneltä aivan kaikki mielessäsi olevat kysymykset.,39-7226315f6c53f1b2778,,,TRUE,,,,
Lahjoita 2/7,state,,,,recording,Kysy suosikiltasi,Kysele rohkeasti – olipa idolisi joku näistä kolmesta tai joku muu!,(Vastaukset joudut kuvittelemaan itse.),,,,,,,,sama kuin edellä
Lahjoita 2/7,state,,,,finish,Hienoa!,"Mukavaa, jos oma taustasi tai murteesi kuului puheessa.",Tähän puhepankkiin on tärkeätä saada mukaan aivan kaikenlaista suomea. Auta siis tutkijoita ja kerro itsestäsi yksi taustatieto.,39-7226905f6c659661647 ,,,,empty,,Ei moduulinimeä,
Auta tutkijaa ,item,6ef34957-41e7-487e-aa0c-a40c93ed9251,prompt,choice,,Murretaustani,"Valitse valikosta maakunta tai alue, joka on eniten vaikuttanut sinun tapaasi puhua.",,39-6780835ec286469a1be,,,,,,,
,item,f49a455d-e7fa-47bf-944b-c2fb60f8af6a,media,image,,Kiitos!,"Erilaisten puhetapojen säilyminen on tärkeää. 

","Huomasithan, että näet jo lahjoittamasi ajan ylälaidasta? Sitten eteenpäin!",39-6780835ec286469a1be,,,FALSE,empty,,Ei moduulinimeä,
