moduuli,element,itemId,kind,itemType,state,title,body1,body2,url,startTime,endTime,isRecording,metaTitle,otherEntryLabel,Mitä näytetään,mitä tallennetaan
,"schedule = teema, item = moduuli",moduulin tekninen tunniste,moduulin tyyppi,,,"moduulin otsikko / 1-2 riviä, riville max. 17 merkkiä","Numero, montako sekuntia klipin alusta (ei  pakollinen)", ,Ns. leipätekstin 1. kappale,Ns. leipätekstin 2. kappale,Kuvan tunniste (kuvamoduuleilla) tai lyhyt teksti (tekstimoduuleilla),"Numero, montako sekuntia klipin alusta (ei pakollinen)",,,"Jere sanoo: Koettakaa saada ylimääräiset rivinvaihdot pois näistä teksteistä, mieluiten ei yhtään",
Tällä ei ole automaation kannalta mitään väliä,"schedule = teema, item = moduuli, state = tila",moduulin (tai teeman) tekninen tunniste,moduulin tyyppi,"moduulin tyyppi (image, yle-video, video, text)","äänittävän moduulin kustomoitava tila (start/recording/finish), tai teeman aloitus/lopetus (start/finish)","moduulin otsikko / 1-2 riviä, riville max. 17 merkkiä (alitiloissa ""inherit""=peritään moduulin päätasolta)","Ns. leipätekstin 1. kappale (alitiloissa ""inherit""=peritään moduulin päätasolta)","Ns. leipätekstin 2. kappale (alitiloissa ""inherit""=peritään moduulin päätasolta)","Kuvan tunniste (kuvamoduuleilla) tai lyhyt teksti (tekstimoduuleilla) / HUOM: ellei tule kumpaakaan, itemTypeksi image ja url-kohtaan null","Numero, montako sekuntia klipin alusta (ei  pakollinen)","Numero, montako sekuntia klipin alusta (ei  pakollinen)","Mediamoduuleilla: true jos äänittävä moduuli, false jos vain näytetään mediaa eikä äänitetä","Moduulin metaotsikon teksti (oletuksena moduulin tyypin perusteella Lahjoitus x/y, Katso tai kuuntele tai Auta tutkijaa). empty = tyhjennä","super-choice-kysymysmoduulissa:  jos tämä on muuta kuin tyhjä, valintalistan oheen tulee tekstikenttä, jonka selitteenä on tämä teksti",harmaa tausta = jätä tyhjäksi,
Teeman aloituskuva,schedule,cbb91217-b323-46d7-b3af-16c41206c60d,media,image,start,Kiva kun tulit!,"Jutellaan lungisti luonnosta, säästä ja vuodenkierrosta.","Ja siis tota, takellella saa, se on osa luonnollista puhetta!",39-7267725f7c26aeccd9a,,,,,,,
Lahjoita 1/8,item,aa00938c-8938-4fb5-a748-960d57b8b78c,media,image,,Reenataas eka!,"Kuvissa on 3 eroavaisuutta.
",Paina Äänitä ja etsi erot ääneen ajatellen.,39-7213795f68784a00ffb,,,TRUE,,,,ei mitään
,state,,,,recording,Reenataas eka!,Etsi 3 eroavaisuutta. Anna pähkäilysi kuulua.,"Kun olet valmis, paina Lopeta äänitys.",39-7213795f68784a00ffb,,,,,,,
,state,,,,finish,Kiitos – näin helppoa se on!,Puhettasi pääsevät kuulemaan vain tutkijat ja tekoälyn kehittäjät. Tietosuojasta voit lukea lisää aloitussivulta.,Sitten sään pariin.,39-7214025f687c33bd007,,,,,,,
Lahjoita 2/8,item,040cef2f-336b-4281-9bda-9eaa549f5bad,media,image,,Kerro sääennuste,Ryhdy Ylen meteorologiksi ja esittele kesäperjantain sää.,"Paina Äänitä, niin näet tarkemman kartan.",39-6755855ebcf75f0d269,,,TRUE,,,,ääni
,state,,,,recording,Kerro sääennuste,,,39-6859975eda2986df0d9,,,,,,,
,state,,,,finish,Pätevää ennustamista!,"Kiitos sinun, puhepankki on jo monta sanaa rikkaampi.",Lahjoittamasi puheen määrän näet oikeassa ylänurkassa.,39-6755855ebcf75f0d269,,,,,,,
,item,700cc004-5441-440d-80f3-fba5d514f425,media,image,,Murretaustani,Puheen lahjoittamisen lomassa kysymme sinulta joitakin taustatietoja.,Vastauksista ei voi päätellä henkilöllisyyttäsi. Ensin kysymme murretaustastasi.,39-6780835ec286469a1be,,,FALSE,empty,,,
