moduuli,element,itemId,kind,itemType,state,title,body1,body2,url,startTime,endTime,isRecording,metaTitle,otherEntryLabel,Mitä näytetään,mitä tallennetaan
Tällä ei ole automaation kannalta mitään väliä,"schedule = teema, item = moduuli, state = tila",moduulin (tai teeman) tekninen tunniste,moduulin tyyppi,"moduulin tyyppi (image, yle-video, video, text)","äänittävän moduulin kustomoitava tila (start/recording/finish), tai teeman aloitus/lopetus (start/finish)","moduulin otsikko / 1-2 riviä, riville max. 17 merkkiä (alitiloissa ""inherit""=peritään moduulin päätasolta)","Ns. leipätekstin 1. kappale (alitiloissa ""inherit""=peritään moduulin päätasolta)","Ns. leipätekstin 2. kappale (alitiloissa ""inherit""=peritään moduulin päätasolta)","Kuvan tunniste (kuvamoduuleilla) tai lyhyt teksti (tekstimoduuleilla) / HUOM: ellei tule kumpaakaan, itemTypeksi image ja url-kohtaan null","Numero, montako sekuntia klipin alusta (ei  pakollinen)","Numero, montako sekuntia klipin alusta (ei  pakollinen)","Mediamoduuleilla: true jos äänittävä moduuli, false jos vain näytetään mediaa eikä äänitetä","Moduulin metaotsikon teksti (oletuksena moduulin tyypin perusteella Lahjoitus x/y, Katso tai kuuntele tai Auta tutkijaa). empty = tyhjennä","super-choice-kysymysmoduulissa:  jos tämä on muuta kuin tyhjä, valintalistan oheen tulee tekstikenttä, jonka selitteenä on tämä teksti",harmaa tausta = jätä tyhjäksi,
Teeman aloituskuva,schedule,e6433174-6e3c-470c-8e63-b2ef2335e26a,media,image,start,Moikka!,Kiva että tulit lahjoittamaan puhetta.,Käytä ihan tavallista puhekieltä. Takeltelu ja pikku tauot eivät haittaa!,39-7362065f9b1b7feb739,,,,,,,
Lahjoita 1/5,item,ae80215b-14fd-4f8b-b1ba-79e7a943f1bc,media,image,,Harjoitellaan ensin,Mitä someja käytät? ,"Kun olet valmis puhumaan, paina Äänitä.",39-7371615f9ffb47da648,,,TRUE,,,,ei mitään
,state,,,,recording,Harjoitellaan ensin,"Kerro, missä someissa olet. ","Kun olet vastannut, paina Lopeta äänitys.",39-7371615f9ffb47da648,,,,,,,
,state,,,,finish,Kiitos – sehän sujui,Puhettasi pääsevät kuulemaan vain tutkijat ja tekoälyn kehittäjät. Tietosuojasta voit lukea lisää aloitussivulta.,Siirrytään sitten arvovaltaiseen seuraan.,39-7376915fa157e00faa1,,,,,,,
Katso tai kuuntele,item,6e9242e8-b759-4c98-888b-8f156f9f5d6b,media,yle-video,,Suuria uutisia,Katso video. Kuka tämä tunnettu henkilö on? Puhuuko hän totta?,Video kestää vajaan minuutin.,1-50673927,,,FALSE,,,,
Lahjoita 2/5,item,5539a6c4-7783-4e31-a56f-a581a395cd31,media,image,,Suuria uutisia,Paina Äänitä ja kerro ajatuksiasi videosta.,,39-7335615f9280fa001de,,,TRUE,,,,
,state,,,,finish,Et mene helposti lankaan!,Tekoälyllä toteutetulla deep fake -videolla Niinistönä esiintyi imitaattori Jarkko Tamminen.,Psst. Lahjoittamasi puheen määrän näet oikeassa ylänurkassa.,39-7373505fa03ee519b3c,,,,,,,
,item,dfdd0ec3-514c-4dc3-b5e6-d9a2cf856a15,media,image,,Auta tutkijaa,Puheen lahjoittamisen varrella kysymme sinulta joitakin taustatietoja.,Vastauksista ei voi päätellä henkilöllisyyttäsi. ,39-6780905ec2876c0f863,,,FALSE,empty,,,
Auta tutkijaa,item,e3264046-a642-46de-a9e7-c55933ee3739,prompt,choice,,Ikäni,,,39-6780905ec2876c0f863,,,FALSE,,,,data
