moduuli,element,itemId,kind,itemType,state,title,body1,body2,url,startTime,endTime,isRecording,Mitä näytetään,mitä tallennetaan
,"schedule = teema, item = moduuli",moduulin tekninen tunniste,moduulin tyyppi,,,"moduulin otsikko / 1-2 riviä, riville max. 17 merkkiä","Numero, montako sekuntia klipin alusta (ei  pakollinen)", ,Ns. leipätekstin 1. kappale,Ns. leipätekstin 2. kappale,Kuvan tunniste (kuvamoduuleilla) tai lyhyt teksti (tekstimoduuleilla),"Numero, montako sekuntia klipin alusta (ei pakollinen)","Jere sanoo: Koettakaa saada ylimääräiset rivinvaihdot pois näistä teksteistä, mieluiten ei yhtään",
Tällä ei ole automaation kannalta mitään väliä,"schedule = teema, item = moduuli, state = tila",moduulin (tai teeman) tekninen tunniste,moduulin tyyppi,"moduulin tyyppi (image, yle-video, video, text)","äänittävän moduulin kustomoitava tila (start/recording/finish), tai teeman aloitus/lopetus (start/finish)","moduulin otsikko / 1-2 riviä, riville max. 17 merkkiä (alitiloissa ""inherit""=peritään moduulin päätasolta)","Ns. leipätekstin 1. kappale (alitiloissa ""inherit""=peritään moduulin päätasolta)","Ns. leipätekstin 2. kappale (alitiloissa ""inherit""=peritään moduulin päätasolta)","Kuvan tunniste (kuvamoduuleilla) tai lyhyt teksti (tekstimoduuleilla) / HUOM: ellei tule kumpaakaan, itemTypeksi image ja url-kohtaan null","Numero, montako sekuntia klipin alusta (ei  pakollinen)","Numero, montako sekuntia klipin alusta (ei  pakollinen)","Mediamoduuleilla: true jos äänittävä moduuli, false jos vain näytetään mediaa eikä äänitetä",harmaa tausta = jätä tyhjäksi,
Teeman aloituskuva,schedule,664bc028-a92f-435f-8e33-9ab4921476c1,media,image,start,Hei kesäkaveri!,Jutellaan rennosti suvesta. ,"Ja siis tota, takellella saa, se on osa luonnollista puhetta!",39-6755795ebcf74ef38f4,,,,,
Lahjoita 1/11,item,a4b700d3-2001-4ba4-839d-da721d4e63ed,media,image,,Harjoitellaan ensin!,"Paina Äänitä-nappia ja laske sitten ääneen leppäkertussa näkyvät pilkut.

",Muistuuko mieleesi myös leppäkerttuihin liittyvä laulu tai loru? Voit tapailla sen sanoja.,39-6755805ebcf75109330,,,TRUE,,ei mitään
,state,,,,recording,Harjoitellaan ensin!,Laske ääneen leppäkertussa näkyvät pilkut. Muistuuko mieleesi myös leppäkerttuihin liittyvä laulu tai loru?,"Kun olet valmis, paina Lopeta äänitys.",39-6755805ebcf75109330,,,,,
,state,,,,finish,Kiitos – näin helppoa se on!,Lahjoittamasi puheen määrän näet oikeassa ylänurkassa.,Puhettasi pääsevät kuulemaan vain tutkijat ja tekoälyn kehittäjät. Tietosuojasta voit lukea lisää aloitussivulta.,39-6755805ebcf75109330,,,,,
Lahjoita 2/11,item,74838f03-9193-483c-b27c-66586b35c2d6,media,image,,Kekseliäät kesätapahtumat,"Kerro, mitä tässä kuvassa tapahtuu. Satutko tietämään, mistä kisasta on kyse?",Ideoi myös itse – millainen kesätapahtuma Suomesta vielä puuttuu? Irrottele vapaasti!,39-6755845ebcf75bab7ed,,,TRUE,,ääni
,state,,,,recording,Kekseliäät kesätapahtumat,"Kerro, mitä tässä kuvassa tapahtuu. Satutko tietämään, mistä kisasta on kyse?",Ideoi myös itse – millainen kesätapahtuma Suomesta vielä puuttuu? Irrottele vapaasti!,39-6755845ebcf75bab7ed,,,,,
,state,,,,finish,Kiitos luovasta aivoriihestä!,Sinun ansiostasi puhepankki on jo monta sanaa rikkaampi.,Kisakuva on eukonkannon MM-kisoista Sonkajärvellä.,39-6755845ebcf75bab7ed,,,,,
Auta tutkijaa,item,92203548-2b6d-4b8f-874e-44881202ea44,media,image,,Murretaustani,Puheen lahjoittamisen lomassa kysymme sinulta joitakin taustatietoja. Ne auttavat kielentutkijoita.,Vastauksista ei voi päätellä henkilöllisyyttäsi. Ensin kysymme murretaustastasi.,39-6780835ec286469a1be,,,FALSE,,
