moduuli,element,itemid,kind,itemType,state,title,body1,body2,url,startTime,endTime,isRecording,HUOM,kuva nähtävänä tai klipin Areena-otsikko
"tämän sarakkeen sisältöä ei käytetä missään, se on vain apuna tekijälle","schedule = teema, item = moduuli, state = tila",moduulin tekninen tunniste,moduulin tyyppi,"moduulin sisältötyyppi (image, yle-video, video, text; tai choice)",toimintatila (vain Lahjoita-osioissa),"moduulin otsikko / 1-2 riviä, riville max. 17 merkkiä",Ns. leipätekstin 1. kappale,Ns. leipätekstin 2. kappale,"kuvan tai videon ID (kaikki videot yle-videoita) /  kuva on nähtävänä HUOM-sarakkeen oikealla puolella / HUOM: kenttään ei tekstiä, pelkät url-tiedot","Numero, montako sekuntia klipin alusta (ei  pakollinen)","Numero, montako sekuntia klipin alusta (ei pakollinen)",tallennetaanko ääntä vai ei / metatietoihin tyhjää,,
teeman aloituskuva,schedule,8aaf82be-de16-4449-9fd2-677291a0e804,,,start,Tervetuloa sporttisiin hetkiin!,"Hienoa, että lahjoitat puhettasi.","Oppaasi urheiluhetkiin on toimittaja Mikko ""Peltsi"" Peltola.",39-6743405eba9bf535049,,,,"Tämä ei ole moduuli, vaan teeman aloitusnäyttö. Siksi sillä ei ole moduulin asetuksia kind ja itemType. Sen sijaan title, body1 ja body2 ovat, ja ne näytetään.",
Katso ja kuuntele,item,4a2ad834-ca42-429b-988a-202e947a3e38,media,yle-video,,Oppaana Mikko Peltola,"Tervetuloa mukaan, urheilun ystävä! Nyt haetaan aitoa puhekieltä. Ota siis rennosti. 

","Aloitetaan hienosta hetkestä. Näet kohta urheilijan kuvan. Kerro, mitä hänestä tulee mieleen. ",1-50526847,,,FALSE,katja muokkasi body 2:a 25.5.20,Lahjoita puhetta: Mikko Peltolan juonto 1
Lahjoita 1/7,item,8fec866e-eb78-4404-a068-3dff257c57c8,media,image,,Alkuverryttely ,Paina Äänitä ja ala turista! Kuka tässä on ja mistä hänet tunnetaan? ,"Kun olet kertonut tarpeeksi, paina Lopeta äänitys.",39-6743345eba9bc416849,,,TRUE,Katja muokkasi bodyja 25.5.20,
Lahjoita 1/7,state,,,,finish,Hyvin meni!,"Pieni muistutus ennen kuin jatketaan: Puhettasi pääsevät kuulemaan vain tutkijat ja tekoälyn kehittäjät. 

",Tietosuojasta voit lukea lisää aloitussivulta. ,39-6743345eba9bc416849,,,,Katja muokkasi titleä 25.5.20,
Katso ja kuuntele,item,fbabf085-a357-40ea-be73-5b9ca1c132ff,media,yle-video,,Haastattelijana,"Kiekkoleijonien kolmas MM-kulta oli sensaatio. Selostushommiin pääset vähän myöhemmin. 

",Kohta saat olla hetken urheilutoimittajana! Joskus urheilijoista on vaikea saada irti järkeviä lausuntoja.,1-50526859,,,FALSE,Ei-tallentava video lähtee automaattisesti käyntiin. Sami varmistaa: Onko tässä alla Seuraava-nappi?,Lahjoita puhetta: Mikko Peltolan juonto 2
,item,eacaeb14-c0c0-4c06-8aab-86a274a4952c,media,image,,Haastattelijana,"Katso ensin inspiraatioksi video, jossa yksi toimittaja tekee parhaansa.",,39-6771495ebe9144ba420,,,FALSE,Tässä lukee nyt nimenä Katso ja kuuntele. parempi olisi tyhjä nimikenttä.,
Katso ja kuuntele,item,c84136fc-8fec-4750-b246-ef4771b5f554,media,yle-video,,Haastattelijana,Toimittaja Bubi Wallenius seurasi keihäänheittäjä Seppo Rätyä näin sitkeästi vuonna 1993.,,1-50547427,,,FALSE,"
Katja vaihtoi URLin ja poisti startTimen ja endTimen 4.6.20
",
Katso ja kuuntele,item,20f8c81c-4a26-4084-ad4d-b083dc3eeb8e,media,yle-video,,Haastattelijana,"Kohta näet kolme kuvaa, joissa urheilija tai kuntoilija on antanut kaikkensa. Mitä haluaisit kysyä heiltä?","Voit kysyä mitä tahansa, siis muutakin kuin ""Miltä nyt tuntuu?"".",1-50526860,,,FALSE,"HUOM: sanamuoto ratkeaa ma 111.5. viimeistään: ""urheilija tai kuntoilija"" vai pelkkä ""kuntoilija""",Lahjoita puhetta: Mikko Peltolan juonto 3
Lahjoita 2/7,item,82720f84-1c34-4017-a506-24aba8bca736,media,yle-video,,Haastattelijana,"Paina äänitä, niin kuva vaihtuu 15 sekunnin välein.",,1-50526894,,,TRUE,Katja vaihtoi Bodyt 9.6.20,
