moduuli,element,itemId,kind,itemType,state,title,body1,body2,url,startTime,endTime,isRecording,HUOM,kuva nähtävänä
"tämän sarakkeen sisältöä ei käytetä missään, se on vain apuna tekijälle","schedule = teema, item = moduuli, state = tila",moduulin (tai teeman) tekninen tunniste,moduulin tyyppi,"moduulin tyyppi (image, yle-video, video, text)","äänittävän moduulin kustomoitava tila, tai teeman aloitus/lopetus","moduulin otsikko / 1-2 riviä, riville max. 17 merkkiä",Ns. leipätekstin 1. kappale,Ns. leipätekstin 2. kappale,"Kuvan tunniste (kuvamoduuleilla) tai lyhyt teksti (tekstimoduuleilla) / HUOM: ellei tule kumpaakaan, itemTypeksi image ja url-kohtaan null","Numero, montako sekuntia klipin alusta (ei pakollinen)","Numero, montako sekuntia klipin alusta (ei  pakollinen)",vain mediamoduuleilla,harmaa tausta = jätä tyhjäksi,
Teeman aloituskuva,schedule,f5c5fd20-34f9-4ff8-bdba-666bbf1740ce,,,start,Tervetuloa!,"Hienoa, että lahjoitat puhettasi.",Nyt muistellaan vuoden 2020 kevättä: Koronavirus laittoi maailman sekaisin. Rajoitukset olivat Suomessakin tiukkoja.,39-6743305eba9bc146d72,,,,,
Lahjoita 1/6,item,245bc03d-a5b4-4cab-8c42-05df42fdb499,media,image,,Harjoitellaan ensin!,"Paina Äänitä-nappia ja kerro, kuinka usein pesit keväällä käsiäsi – entä nyt?",,39-6743335eba9bc4094b0,,,TRUE,,
,state,,,,recording,Lahjoitus käynnissä,Juttele rennosti puhekielellä. Tauot ja takeltelu ovat sallittuja!,"Kun olet valmis, paina Lopeta äänitys.",39-6743575eba9e82dd3c3,,,,,
,state,,,,finish,"Kiitos, hyvin meni!",Kohta jatketaan.,Pikku juttu ensin: Puhettasi pääsevät kuulemaan vain tutkijat ja tekoälyn kehittäjät. Tietosuojasta voit lukea lisää aloitussivulta.,39-6787585ec4df7206a0b,,,,,
Lahjoita 2/6,item,a3c758d7-6fc5-4f71-9fce-4c8684ebb8a0,media,image,,Tavallinen päiväni,"Muistele seuraavaksi, millainen oli tavallinen arkipäiväsi poikkeusaikana.","Kerro, lähditkö töihin vai teitkö töitä tai opiskelit kotoa käsin? ",39-6743325eba9bc3ccba6,,,TRUE,Katja muokkasi body2:a 27.5.20,
,state,,,,recording,Tavallinen päiväni,"Kerro myös, vaikuttiko kriisi työtilanteeseesi tai talouteesi. ",Kuvaile vapaasti.,39-6743325eba9bc3ccba6,,,,Katja muokkasi bodyja 27.5.20,
,state,,,,finish,Kiitos!,Jatketaan!,,39-6743325eba9bc3ccba6,,,,,
Lahjoita 3/6,item,8871f112-5c8f-4083-89f5-c42b4525d55b,media,image,,Tätä kaipasin,Mitä asioita kaipasit rajoitustoimien aikana eniten? Kerro yksi tai useampi.,Voit miettiä rauhassa ennen äänitystä.,39-6743295eba9bc0076a9,,,TRUE,,
,state,,,,recording,Tätä kaipasin,"Kerro myös, oletko saanut toteuttaa näitä asioita, kun rajoituksia on höllennetty.",,39-6743295eba9bc0076a9,,,,Katja vaihtoi kuvan urlin 26.5.20,
